# Flight-project Licenses
| Package Name | License |
|--------------|---------|
| asttokens | APACHE 2.0 |
| brotli | MIT LICENSE |
| cramjam | MIT |
| cython | APACHE SOFTWARE LICENSE |
| decorator | BSD LICENSE |
| executing | MIT LICENSE |
| fastparquet | APACHE SOFTWARE LICENSE |
| fsspec | BSD LICENSE |
| geographiclib | MIT LICENSE |
| geopy | MIT LICENSE |
| inflate64 | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| ipython | BSD LICENSE |
| ipython-pygments-lexers | BSD LICENSE |
| jedi | MIT LICENSE |
| matplotlib-inline | BSD LICENSE |
| multivolumefile | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| numpy | BSD LICENSE |
| packaging | APACHE SOFTWARE LICENSE;; BSD LICENSE |
| pandas | BSD LICENSE |
| parso | MIT LICENSE |
| pexpect | ISC LICENSE _ISCL_ |
| polars | MIT LICENSE |
| prompt-toolkit | BSD LICENSE |
| psutil | BSD LICENSE |
| ptyprocess | ISC LICENSE _ISCL_ |
| pure-eval | MIT LICENSE |
| py7zr | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| pybcj | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| pycryptodomex | BSD LICENSE;; PUBLIC DOMAIN |
| pygments | BSD LICENSE |
| pyppmd | LGPL-2.1-OR-LATER |
| python-dateutil | APACHE SOFTWARE LICENSE;; BSD LICENSE |
| python-dotenv | BSD LICENSE |
| pytz | MIT LICENSE |
| pyzstd | BSD LICENSE |
| scipy | BSD LICENSE |
| setuptools | MIT |
| six | MIT LICENSE |
| stack-data | MIT LICENSE |
| texttable | MIT LICENSE |
| traitlets | BSD LICENSE |
| tzdata | APACHE SOFTWARE LICENSE |
| wcwidth | MIT LICENSE |
